comparacion,tabla_origen,eje,opcion_a,opcion_b,metrica,mayor_es_mejor,ambito,set_features,algoritmo,n_pares,gana_a,gana_b,empates,titular,semillas_gana_a,semillas_gana_b,semillas_empate,media_diferencia,min_diferencia,max_diferencia,semillas,decisiones_no_constantes,alcance,commits_origen,commit_agregador,fecha
balanceo_SMOTE_vs_class_weight_f1_macro_cv,metricas_balanceo_semillas.csv,balanceo,SMOTE,class_weight,f1_macro_cv,True,122_sin_seleccion · DecisionTree,122_sin_seleccion,DecisionTree,10,5,5,0,SMOTE gana en 5 de 10,1 2 5 6 10,3 4 7 8 9,,-0.003601,-0.026051,0.024827,1 2 3 4 5 6 7 8 9 10,,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,df30cb2,0276039-sucio,2026-08-17T18:56:18
balanceo_SMOTE_vs_class_weight_f1_macro_cv,metricas_balanceo_semillas.csv,balanceo,SMOTE,class_weight,f1_macro_cv,True,122_sin_seleccion · RandomForest,122_sin_seleccion,RandomForest,10,6,4,0,SMOTE gana en 6 de 10,1 2 6 7 8 10,3 4 5 9,,-0.000772,-0.008166,0.009112,1 2 3 4 5 6 7 8 9 10,,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,df30cb2,0276039-sucio,2026-08-17T18:56:18
balanceo_SMOTE_vs_class_weight_f1_macro_cv,metricas_balanceo_semillas.csv,balanceo,SMOTE,class_weight,f1_macro_cv,True,54 · DecisionTree,54,DecisionTree,10,7,3,0,SMOTE gana en 7 de 10,1 2 4 5 6 9 10,3 7 8,,0.003405,-0.016149,0.022431,1 2 3 4 5 6 7 8 9 10,,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,df30cb2,0276039-sucio,2026-08-17T18:56:18
balanceo_SMOTE_vs_class_weight_f1_macro_cv,metricas_balanceo_semillas.csv,balanceo,SMOTE,class_weight,f1_macro_cv,True,54 · RandomForest,54,RandomForest,10,5,5,0,SMOTE gana en 5 de 10,1 2 3 8 10,4 5 6 7 9,,0.000969,-0.00498,0.010478,1 2 3 4 5 6 7 8 9 10,,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,df30cb2,0276039-sucio,2026-08-17T18:56:18
balanceo_SMOTE_vs_class_weight_f1_macro_cv,metricas_balanceo_semillas.csv,balanceo,SMOTE,class_weight,f1_macro_cv,True,__global__,__global__,__global__,40,23,17,0,SMOTE gana en 23 de 40,"('122_sin_seleccion · DecisionTree', 1) ('122_sin_seleccion · DecisionTree', 2) ('122_sin_seleccion · DecisionTree', 5) ('122_sin_seleccion · DecisionTree', 6) ('122_sin_seleccion · DecisionTree', 10) ('122_sin_seleccion · RandomForest', 1) ('122_sin_seleccion · RandomForest', 2) ('122_sin_seleccion · RandomForest', 6) ('122_sin_seleccion · RandomForest', 7) ('122_sin_seleccion · RandomForest', 8) ('122_sin_seleccion · RandomForest', 10) ('54 · DecisionTree', 1) ('54 · DecisionTree', 2) ('54 · DecisionTree', 4) ('54 · DecisionTree', 5) ('54 · DecisionTree', 6) ('54 · DecisionTree', 9) ('54 · DecisionTree', 10) ('54 · RandomForest', 1) ('54 · RandomForest', 2) ('54 · RandomForest', 3) ('54 · RandomForest', 8) ('54 · RandomForest', 10)","('122_sin_seleccion · DecisionTree', 3) ('122_sin_seleccion · DecisionTree', 4) ('122_sin_seleccion · DecisionTree', 7) ('122_sin_seleccion · DecisionTree', 8) ('122_sin_seleccion · DecisionTree', 9) ('122_sin_seleccion · RandomForest', 3) ('122_sin_seleccion · RandomForest', 4) ('122_sin_seleccion · RandomForest', 5) ('122_sin_seleccion · RandomForest', 9) ('54 · DecisionTree', 3) ('54 · DecisionTree', 7) ('54 · DecisionTree', 8) ('54 · RandomForest', 4) ('54 · RandomForest', 5) ('54 · RandomForest', 6) ('54 · RandomForest', 7) ('54 · RandomForest', 9)",,0.0,-0.026051,0.024827,1 2 3 4 5 6 7 8 9 10,,,df30cb2,0276039-sucio,2026-08-17T18:56:18
balanceo_SMOTE_vs_nada_f1_macro_cv,metricas_balanceo_semillas.csv,balanceo,SMOTE,nada,f1_macro_cv,True,122_sin_seleccion · HistGradientBoosting,122_sin_seleccion,HistGradientBoosting,10,10,0,0,SMOTE gana en 10 de 10,1 2 3 4 5 6 7 8 9 10,,,0.157338,0.105357,0.178521,1 2 3 4 5 6 7 8 9 10,,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,df30cb2,0276039-sucio,2026-08-17T18:56:18
balanceo_SMOTE_vs_nada_f1_macro_cv,metricas_balanceo_semillas.csv,balanceo,SMOTE,nada,f1_macro_cv,True,122_sin_seleccion · KNN,122_sin_seleccion,KNN,10,10,0,0,SMOTE gana en 10 de 10,1 2 3 4 5 6 7 8 9 10,,,0.020728,0.009885,0.028385,1 2 3 4 5 6 7 8 9 10,,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,df30cb2,0276039-sucio,2026-08-17T18:56:18
balanceo_SMOTE_vs_nada_f1_macro_cv,metricas_balanceo_semillas.csv,balanceo,SMOTE,nada,f1_macro_cv,True,54 · HistGradientBoosting,54,HistGradientBoosting,10,10,0,0,SMOTE gana en 10 de 10,1 2 3 4 5 6 7 8 9 10,,,0.153743,0.105234,0.183804,1 2 3 4 5 6 7 8 9 10,,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,df30cb2,0276039-sucio,2026-08-17T18:56:18
balanceo_SMOTE_vs_nada_f1_macro_cv,metricas_balanceo_semillas.csv,balanceo,SMOTE,nada,f1_macro_cv,True,54 · KNN,54,KNN,10,10,0,0,SMOTE gana en 10 de 10,1 2 3 4 5 6 7 8 9 10,,,0.01505,0.005761,0.024192,1 2 3 4 5 6 7 8 9 10,,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,df30cb2,0276039-sucio,2026-08-17T18:56:18
balanceo_SMOTE_vs_nada_f1_macro_cv,metricas_balanceo_semillas.csv,balanceo,SMOTE,nada,f1_macro_cv,True,__global__,__global__,__global__,40,40,0,0,SMOTE gana en 40 de 40,"('122_sin_seleccion · HistGradientBoosting', 1) ('122_sin_seleccion · HistGradientBoosting', 2) ('122_sin_seleccion · HistGradientBoosting', 3) ('122_sin_seleccion · HistGradientBoosting', 4) ('122_sin_seleccion · HistGradientBoosting', 5) ('122_sin_seleccion · HistGradientBoosting', 6) ('122_sin_seleccion · HistGradientBoosting', 7) ('122_sin_seleccion · HistGradientBoosting', 8) ('122_sin_seleccion · HistGradientBoosting', 9) ('122_sin_seleccion · HistGradientBoosting', 10) ('122_sin_seleccion · KNN', 1) ('122_sin_seleccion · KNN', 2) ('122_sin_seleccion · KNN', 3) ('122_sin_seleccion · KNN', 4) ('122_sin_seleccion · KNN', 5) ('122_sin_seleccion · KNN', 6) ('122_sin_seleccion · KNN', 7) ('122_sin_seleccion · KNN', 8) ('122_sin_seleccion · KNN', 9) ('122_sin_seleccion · KNN', 10) ('54 · HistGradientBoosting', 1) ('54 · HistGradientBoosting', 2) ('54 · HistGradientBoosting', 3) ('54 · HistGradientBoosting', 4) ('54 · HistGradientBoosting', 5) ('54 · HistGradientBoosting', 6) ('54 · HistGradientBoosting', 7) ('54 · HistGradientBoosting', 8) ('54 · HistGradientBoosting', 9) ('54 · HistGradientBoosting', 10) ('54 · KNN', 1) ('54 · KNN', 2) ('54 · KNN', 3) ('54 · KNN', 4) ('54 · KNN', 5) ('54 · KNN', 6) ('54 · KNN', 7) ('54 · KNN', 8) ('54 · KNN', 9) ('54 · KNN', 10)",,,0.086715,0.005761,0.183804,1 2 3 4 5 6 7 8 9 10,,,df30cb2,0276039-sucio,2026-08-17T18:56:18
