tabla_origen,bloque,set_features,algoritmo,metrica,n,media,sd,min,max,valor_semilla_42,dentro_banda_42,distancia_fuera_banda_42,commit_semilla_42,semillas,alcance,nota_bloque,decisiones_no_constantes,commits_origen,commit_agregador,fecha
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,Autoencoder,f1,10,0.8687,0.0232,0.8351,0.8965,0.8659,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'hidden_layer_sizes': (64, 32, 64)} en 6 semilla(s) · {'hidden_layer_sizes': (32, 16, 32)} en 4 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,Autoencoder,fpr,10,0.0861,0.0138,0.0488,0.0978,0.0849,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'hidden_layer_sizes': (64, 32, 64)} en 6 semilla(s) · {'hidden_layer_sizes': (32, 16, 32)} en 4 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,Autoencoder,pr_auc,10,0.9542,0.0067,0.9407,0.9602,0.9519,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'hidden_layer_sizes': (64, 32, 64)} en 6 semilla(s) · {'hidden_layer_sizes': (32, 16, 32)} en 4 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,Autoencoder,roc_auc,10,0.948,0.0069,0.9341,0.9573,0.9472,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'hidden_layer_sizes': (64, 32, 64)} en 6 semilla(s) · {'hidden_layer_sizes': (32, 16, 32)} en 4 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,Autoencoder,umbral,10,0.0014,0.0016,0.0001,0.0043,0.0001,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'hidden_layer_sizes': (64, 32, 64)} en 6 semilla(s) · {'hidden_layer_sizes': (32, 16, 32)} en 4 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,IsolationForest,f1,10,0.8194,0.0087,0.8063,0.8322,0.8187,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'n_estimators': 100, 'max_samples': 1.0} en 3 semilla(s) · {'n_estimators': 300, 'max_samples': 1.0} en 3 semilla(s) · {'n_estimators': 200, 'max_samples': 1.0} en 2 semilla(s) · {'n_estimators': 300, 'max_samples': 0.5} en 1 semilla(s) · {'n_estimators': 200, 'max_samples': 0.5} en 1 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,IsolationForest,fpr,10,0.0898,0.0034,0.0823,0.0938,0.0928,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'n_estimators': 100, 'max_samples': 1.0} en 3 semilla(s) · {'n_estimators': 300, 'max_samples': 1.0} en 3 semilla(s) · {'n_estimators': 200, 'max_samples': 1.0} en 2 semilla(s) · {'n_estimators': 300, 'max_samples': 0.5} en 1 semilla(s) · {'n_estimators': 200, 'max_samples': 0.5} en 1 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,IsolationForest,pr_auc,10,0.957,0.0019,0.9546,0.9609,0.9511,fuera,0.003474,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'n_estimators': 100, 'max_samples': 1.0} en 3 semilla(s) · {'n_estimators': 300, 'max_samples': 1.0} en 3 semilla(s) · {'n_estimators': 200, 'max_samples': 1.0} en 2 semilla(s) · {'n_estimators': 300, 'max_samples': 0.5} en 1 semilla(s) · {'n_estimators': 200, 'max_samples': 0.5} en 1 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,IsolationForest,roc_auc,10,0.9502,0.0022,0.9473,0.9539,0.9459,fuera,0.001405,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'n_estimators': 100, 'max_samples': 1.0} en 3 semilla(s) · {'n_estimators': 300, 'max_samples': 1.0} en 3 semilla(s) · {'n_estimators': 200, 'max_samples': 1.0} en 2 semilla(s) · {'n_estimators': 300, 'max_samples': 0.5} en 1 semilla(s) · {'n_estimators': 200, 'max_samples': 0.5} en 1 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,IsolationForest,umbral,10,0.406,0.0042,0.4003,0.4126,0.4098,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'n_estimators': 100, 'max_samples': 1.0} en 3 semilla(s) · {'n_estimators': 300, 'max_samples': 1.0} en 3 semilla(s) · {'n_estimators': 200, 'max_samples': 1.0} en 2 semilla(s) · {'n_estimators': 300, 'max_samples': 0.5} en 1 semilla(s) · {'n_estimators': 200, 'max_samples': 0.5} en 1 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
