algoritmo,alcance,set_features,sin_seleccion,n_features,config_ganadora,n_iter_ganador,n_iter_total_grid,auc_val,umbral,roc_auc,pr_auc,precision,recall,f1,accuracy,fpr,tn,fp,fn,tp,tiempo_s,tiempo_score_seleccion_s,tiempo_score_umbral_s,alcance_tiempo_s,tiempo_entrenamiento_s,tiempo_inferencia_s,n_inferencia,latencia_ms_por_flujo,flujos_por_segundo,semilla,commit,fecha
IsolationForest,binario normal-vs-ataque (2 clases) sobre D2 completo,54,False,54,"{'n_estimators': 300, 'max_samples': 1.0}",,,0.991406,0.435049,0.927445,0.933147,0.910199,0.750331,0.82257,0.815738,0.097827,8761,950,3204,9629,4.55,1.036,0.211,'tiempo_s' = el bloque completo del algoritmo. Sus cinco tramos principales en orden de ejecución: (1) los fit del grid — y solo ellos son 'tiempo_entrenamiento_s' — (2) puntuar el set de validación etiquetado (D1_val + la muestra de D3) UNA VEZ POR CONFIGURACIÓN del grid = 'tiempo_score_seleccion_s' (3) puntuar D1_val para fijar el umbral p95 = 'tiempo_score_umbral_s' (4) la inferencia sobre D2 = 'tiempo_inferencia_s' y (5) la cola de evaluar_binario + UNA figura —la matriz de confusión; la de curvas ROC/PR se dibuja al final del script y queda fuera—. 'Principales' es literal: dentro de la misma ventana caen también el submuestreo de OneClassSVM · la construcción del estimador en cada iteración del grid y un roc_auc_score por configuración — despreciables pero no nulos — así que el tramo (5) no tiene columna propia: es lo que queda al restar de 'tiempo_s' las cuatro columnas de tiempo anteriores. El reparto entre tramos se LEE de las columnas de esta misma fila y no se estima. AVISO al reconstruirlo: los tramos (2) (3) y (4) miden la MISMA operación sobre conjuntos de tamaño distinto así que un cociente CRUDO entre dos de ellos NO es un cociente de coste por flujo: hay que dividirlo por la razón de tamaños de sus conjuntos antes de leerlo — y aun normalizado sigue siendo wall-clock de un pase único en una corrida que no controla ni el estado de caché ni la carga de la máquina ni n_jobs. La comparación normalizada está en PIPELINE.md anclada a su corrida · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,2.626,0.349,22544,0.015472,64631.2,1,df30cb2,2026-08-12T22:09:24
OneClassSVM,binario normal-vs-ataque (2 clases) sobre D2 completo,54,False,54,"{'nu': 0.1, 'gamma': 'scale'}",,,0.971582,21.920679,0.832834,0.887581,0.915841,0.684329,0.783338,0.78451,0.083102,8904,807,4051,8782,24.52,9.903,1.478,'tiempo_s' = el bloque completo del algoritmo. Sus cinco tramos principales en orden de ejecución: (1) los fit del grid — y solo ellos son 'tiempo_entrenamiento_s' — (2) puntuar el set de validación etiquetado (D1_val + la muestra de D3) UNA VEZ POR CONFIGURACIÓN del grid = 'tiempo_score_seleccion_s' (3) puntuar D1_val para fijar el umbral p95 = 'tiempo_score_umbral_s' (4) la inferencia sobre D2 = 'tiempo_inferencia_s' y (5) la cola de evaluar_binario + UNA figura —la matriz de confusión; la de curvas ROC/PR se dibuja al final del script y queda fuera—. 'Principales' es literal: dentro de la misma ventana caen también el submuestreo de OneClassSVM · la construcción del estimador en cada iteración del grid y un roc_auc_score por configuración — despreciables pero no nulos — así que el tramo (5) no tiene columna propia: es lo que queda al restar de 'tiempo_s' las cuatro columnas de tiempo anteriores. El reparto entre tramos se LEE de las columnas de esta misma fila y no se estima. AVISO al reconstruirlo: los tramos (2) (3) y (4) miden la MISMA operación sobre conjuntos de tamaño distinto así que un cociente CRUDO entre dos de ellos NO es un cociente de coste por flujo: hay que dividirlo por la razón de tamaños de sus conjuntos antes de leerlo — y aun normalizado sigue siendo wall-clock de un pase único en una corrida que no controla ni el estado de caché ni la carga de la máquina ni n_jobs. La comparación normalizada está en PIPELINE.md anclada a su corrida · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,10.464,2.508,22544,0.111244,8989.2,1,df30cb2,2026-08-12T22:09:24
LocalOutlierFactor,binario normal-vs-ataque (2 clases) sobre D2 completo,54,False,54,{'n_neighbors': 20},,,0.929738,2.205468,0.80594,0.738138,0.777052,0.426401,0.550642,0.603841,0.161672,8141,1570,7361,5472,14.24,3.002,0.761,'tiempo_s' = el bloque completo del algoritmo. Sus cinco tramos principales en orden de ejecución: (1) los fit del grid — y solo ellos son 'tiempo_entrenamiento_s' — (2) puntuar el set de validación etiquetado (D1_val + la muestra de D3) UNA VEZ POR CONFIGURACIÓN del grid = 'tiempo_score_seleccion_s' (3) puntuar D1_val para fijar el umbral p95 = 'tiempo_score_umbral_s' (4) la inferencia sobre D2 = 'tiempo_inferencia_s' y (5) la cola de evaluar_binario + UNA figura —la matriz de confusión; la de curvas ROC/PR se dibuja al final del script y queda fuera—. 'Principales' es literal: dentro de la misma ventana caen también el submuestreo de OneClassSVM · la construcción del estimador en cada iteración del grid y un roc_auc_score por configuración — despreciables pero no nulos — así que el tramo (5) no tiene columna propia: es lo que queda al restar de 'tiempo_s' las cuatro columnas de tiempo anteriores. El reparto entre tramos se LEE de las columnas de esta misma fila y no se estima. AVISO al reconstruirlo: los tramos (2) (3) y (4) miden la MISMA operación sobre conjuntos de tamaño distinto así que un cociente CRUDO entre dos de ellos NO es un cociente de coste por flujo: hay que dividirlo por la razón de tamaños de sus conjuntos antes de leerlo — y aun normalizado sigue siendo wall-clock de un pase único en una corrida que no controla ni el estado de caché ni la carga de la máquina ni n_jobs. La comparación normalizada está en PIPELINE.md anclada a su corrida · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,9.38,0.895,22544,0.039693,25193.1,1,df30cb2,2026-08-12T22:09:24
Autoencoder,binario normal-vs-ataque (2 clases) sobre D2 completo,54,False,54,"{'hidden_layer_sizes': (64, 32, 64)}",75.0,130.0,0.989193,2.1e-05,0.924182,0.924107,0.911304,0.819839,0.863155,0.852023,0.105447,8687,1024,2312,10521,24.24,0.037,0.021,'tiempo_s' = el bloque completo del algoritmo. Sus cinco tramos principales en orden de ejecución: (1) los fit del grid — y solo ellos son 'tiempo_entrenamiento_s' — (2) puntuar el set de validación etiquetado (D1_val + la muestra de D3) UNA VEZ POR CONFIGURACIÓN del grid = 'tiempo_score_seleccion_s' (3) puntuar D1_val para fijar el umbral p95 = 'tiempo_score_umbral_s' (4) la inferencia sobre D2 = 'tiempo_inferencia_s' y (5) la cola de evaluar_binario + UNA figura —la matriz de confusión; la de curvas ROC/PR se dibuja al final del script y queda fuera—. 'Principales' es literal: dentro de la misma ventana caen también el submuestreo de OneClassSVM · la construcción del estimador en cada iteración del grid y un roc_auc_score por configuración — despreciables pero no nulos — así que el tramo (5) no tiene columna propia: es lo que queda al restar de 'tiempo_s' las cuatro columnas de tiempo anteriores. El reparto entre tramos se LEE de las columnas de esta misma fila y no se estima. AVISO al reconstruirlo: los tramos (2) (3) y (4) miden la MISMA operación sobre conjuntos de tamaño distinto así que un cociente CRUDO entre dos de ellos NO es un cociente de coste por flujo: hay que dividirlo por la razón de tamaños de sus conjuntos antes de leerlo — y aun normalizado sigue siendo wall-clock de un pase único en una corrida que no controla ni el estado de caché ni la carga de la máquina ni n_jobs. La comparación normalizada está en PIPELINE.md anclada a su corrida · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,24.011,0.031,22544,0.001377,726391.6,1,df30cb2,2026-08-12T22:09:24
IsolationForest,binario normal-vs-ataque (2 clases) sobre D2 completo,122_sin_seleccion,True,122,"{'n_estimators': 100, 'max_samples': 1.0}",,,0.991737,0.40533,0.947293,0.955647,0.913322,0.721733,0.806303,0.802608,0.090516,8832,879,3571,9262,4.91,1.277,0.072,'tiempo_s' = el bloque completo del algoritmo. Sus cinco tramos principales en orden de ejecución: (1) los fit del grid — y solo ellos son 'tiempo_entrenamiento_s' — (2) puntuar el set de validación etiquetado (D1_val + la muestra de D3) UNA VEZ POR CONFIGURACIÓN del grid = 'tiempo_score_seleccion_s' (3) puntuar D1_val para fijar el umbral p95 = 'tiempo_score_umbral_s' (4) la inferencia sobre D2 = 'tiempo_inferencia_s' y (5) la cola de evaluar_binario + UNA figura —la matriz de confusión; la de curvas ROC/PR se dibuja al final del script y queda fuera—. 'Principales' es literal: dentro de la misma ventana caen también el submuestreo de OneClassSVM · la construcción del estimador en cada iteración del grid y un roc_auc_score por configuración — despreciables pero no nulos — así que el tramo (5) no tiene columna propia: es lo que queda al restar de 'tiempo_s' las cuatro columnas de tiempo anteriores. El reparto entre tramos se LEE de las columnas de esta misma fila y no se estima. AVISO al reconstruirlo: los tramos (2) (3) y (4) miden la MISMA operación sobre conjuntos de tamaño distinto así que un cociente CRUDO entre dos de ellos NO es un cociente de coste por flujo: hay que dividirlo por la razón de tamaños de sus conjuntos antes de leerlo — y aun normalizado sigue siendo wall-clock de un pase único en una corrida que no controla ni el estado de caché ni la carga de la máquina ni n_jobs. La comparación normalizada está en PIPELINE.md anclada a su corrida · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,3.215,0.118,22544,0.005226,191360.6,1,df30cb2,2026-08-12T22:18:30
OneClassSVM,binario normal-vs-ataque (2 clases) sobre D2 completo,122_sin_seleccion,True,122,"{'nu': 0.05, 'gamma': 'scale'}",,,0.978128,0.526698,0.88977,0.925876,0.918766,0.710356,0.80123,0.79937,0.082999,8905,806,3717,9116,40.49,14.011,0.991,'tiempo_s' = el bloque completo del algoritmo. Sus cinco tramos principales en orden de ejecución: (1) los fit del grid — y solo ellos son 'tiempo_entrenamiento_s' — (2) puntuar el set de validación etiquetado (D1_val + la muestra de D3) UNA VEZ POR CONFIGURACIÓN del grid = 'tiempo_score_seleccion_s' (3) puntuar D1_val para fijar el umbral p95 = 'tiempo_score_umbral_s' (4) la inferencia sobre D2 = 'tiempo_inferencia_s' y (5) la cola de evaluar_binario + UNA figura —la matriz de confusión; la de curvas ROC/PR se dibuja al final del script y queda fuera—. 'Principales' es literal: dentro de la misma ventana caen también el submuestreo de OneClassSVM · la construcción del estimador en cada iteración del grid y un roc_auc_score por configuración — despreciables pero no nulos — así que el tramo (5) no tiene columna propia: es lo que queda al restar de 'tiempo_s' las cuatro columnas de tiempo anteriores. El reparto entre tramos se LEE de las columnas de esta misma fila y no se estima. AVISO al reconstruirlo: los tramos (2) (3) y (4) miden la MISMA operación sobre conjuntos de tamaño distinto así que un cociente CRUDO entre dos de ellos NO es un cociente de coste por flujo: hay que dividirlo por la razón de tamaños de sus conjuntos antes de leerlo — y aun normalizado sigue siendo wall-clock de un pase único en una corrida que no controla ni el estado de caché ni la carga de la máquina ni n_jobs. La comparación normalizada está en PIPELINE.md anclada a su corrida · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,23.61,1.684,22544,0.074679,13390.7,1,df30cb2,2026-08-12T22:18:30
LocalOutlierFactor,binario normal-vs-ataque (2 clases) sobre D2 completo,122_sin_seleccion,True,122,{'n_neighbors': 20},,,0.947115,2.296565,0.83638,0.75985,0.841268,0.65129,0.734188,0.731547,0.162393,8134,1577,4475,8358,26.15,5.639,1.354,'tiempo_s' = el bloque completo del algoritmo. Sus cinco tramos principales en orden de ejecución: (1) los fit del grid — y solo ellos son 'tiempo_entrenamiento_s' — (2) puntuar el set de validación etiquetado (D1_val + la muestra de D3) UNA VEZ POR CONFIGURACIÓN del grid = 'tiempo_score_seleccion_s' (3) puntuar D1_val para fijar el umbral p95 = 'tiempo_score_umbral_s' (4) la inferencia sobre D2 = 'tiempo_inferencia_s' y (5) la cola de evaluar_binario + UNA figura —la matriz de confusión; la de curvas ROC/PR se dibuja al final del script y queda fuera—. 'Principales' es literal: dentro de la misma ventana caen también el submuestreo de OneClassSVM · la construcción del estimador en cada iteración del grid y un roc_auc_score por configuración — despreciables pero no nulos — así que el tramo (5) no tiene columna propia: es lo que queda al restar de 'tiempo_s' las cuatro columnas de tiempo anteriores. El reparto entre tramos se LEE de las columnas de esta misma fila y no se estima. AVISO al reconstruirlo: los tramos (2) (3) y (4) miden la MISMA operación sobre conjuntos de tamaño distinto así que un cociente CRUDO entre dos de ellos NO es un cociente de coste por flujo: hay que dividirlo por la razón de tamaños de sus conjuntos antes de leerlo — y aun normalizado sigue siendo wall-clock de un pase único en una corrida que no controla ni el estado de caché ni la carga de la máquina ni n_jobs. La comparación normalizada está en PIPELINE.md anclada a su corrida · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,17.071,1.843,22544,0.081735,12234.7,1,df30cb2,2026-08-12T22:18:30
Autoencoder,binario normal-vs-ataque (2 clases) sobre D2 completo,122_sin_seleccion,True,122,"{'hidden_layer_sizes': (64, 32, 64)}",84.0,215.0,0.98675,0.000104,0.942221,0.948363,0.924787,0.862308,0.892455,0.881698,0.092678,8811,900,1767,11066,70.33,0.066,0.025,'tiempo_s' = el bloque completo del algoritmo. Sus cinco tramos principales en orden de ejecución: (1) los fit del grid — y solo ellos son 'tiempo_entrenamiento_s' — (2) puntuar el set de validación etiquetado (D1_val + la muestra de D3) UNA VEZ POR CONFIGURACIÓN del grid = 'tiempo_score_seleccion_s' (3) puntuar D1_val para fijar el umbral p95 = 'tiempo_score_umbral_s' (4) la inferencia sobre D2 = 'tiempo_inferencia_s' y (5) la cola de evaluar_binario + UNA figura —la matriz de confusión; la de curvas ROC/PR se dibuja al final del script y queda fuera—. 'Principales' es literal: dentro de la misma ventana caen también el submuestreo de OneClassSVM · la construcción del estimador en cada iteración del grid y un roc_auc_score por configuración — despreciables pero no nulos — así que el tramo (5) no tiene columna propia: es lo que queda al restar de 'tiempo_s' las cuatro columnas de tiempo anteriores. El reparto entre tramos se LEE de las columnas de esta misma fila y no se estima. AVISO al reconstruirlo: los tramos (2) (3) y (4) miden la MISMA operación sobre conjuntos de tamaño distinto así que un cociente CRUDO entre dos de ellos NO es un cociente de coste por flujo: hay que dividirlo por la razón de tamaños de sus conjuntos antes de leerlo — y aun normalizado sigue siendo wall-clock de un pase único en una corrida que no controla ni el estado de caché ni la carga de la máquina ni n_jobs. La comparación normalizada está en PIPELINE.md anclada a su corrida · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,70.051,0.042,22544,0.001868,535460.2,1,df30cb2,2026-08-12T22:18:30
IsolationForest,binario normal-vs-ataque (2 clases) sobre D2 completo,54,False,54,"{'n_estimators': 200, 'max_samples': 1.0}",,,0.991587,0.436039,0.928898,0.93605,0.908691,0.756877,0.825865,0.818311,0.100505,8735,976,3120,9713,4.81,1.195,0.159,'tiempo_s' = el bloque completo del algoritmo. Sus cinco tramos principales en orden de ejecución: (1) los fit del grid — y solo ellos son 'tiempo_entrenamiento_s' — (2) puntuar el set de validación etiquetado (D1_val + la muestra de D3) UNA VEZ POR CONFIGURACIÓN del grid = 'tiempo_score_seleccion_s' (3) puntuar D1_val para fijar el umbral p95 = 'tiempo_score_umbral_s' (4) la inferencia sobre D2 = 'tiempo_inferencia_s' y (5) la cola de evaluar_binario + UNA figura —la matriz de confusión; la de curvas ROC/PR se dibuja al final del script y queda fuera—. 'Principales' es literal: dentro de la misma ventana caen también el submuestreo de OneClassSVM · la construcción del estimador en cada iteración del grid y un roc_auc_score por configuración — despreciables pero no nulos — así que el tramo (5) no tiene columna propia: es lo que queda al restar de 'tiempo_s' las cuatro columnas de tiempo anteriores. El reparto entre tramos se LEE de las columnas de esta misma fila y no se estima. AVISO al reconstruirlo: los tramos (2) (3) y (4) miden la MISMA operación sobre conjuntos de tamaño distinto así que un cociente CRUDO entre dos de ellos NO es un cociente de coste por flujo: hay que dividirlo por la razón de tamaños de sus conjuntos antes de leerlo — y aun normalizado sigue siendo wall-clock de un pase único en una corrida que no controla ni el estado de caché ni la carga de la máquina ni n_jobs. La comparación normalizada está en PIPELINE.md anclada a su corrida · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,3.01,0.247,22544,0.010974,91125.7,2,df30cb2,2026-08-12T22:27:09
OneClassSVM,binario normal-vs-ataque (2 clases) sobre D2 completo,54,False,54,"{'nu': 0.1, 'gamma': 'scale'}",,,0.975078,21.537408,0.835884,0.889594,0.916823,0.684563,0.78385,0.785087,0.082072,8914,797,4048,8785,25.34,10.697,1.581,'tiempo_s' = el bloque completo del algoritmo. Sus cinco tramos principales en orden de ejecución: (1) los fit del grid — y solo ellos son 'tiempo_entrenamiento_s' — (2) puntuar el set de validación etiquetado (D1_val + la muestra de D3) UNA VEZ POR CONFIGURACIÓN del grid = 'tiempo_score_seleccion_s' (3) puntuar D1_val para fijar el umbral p95 = 'tiempo_score_umbral_s' (4) la inferencia sobre D2 = 'tiempo_inferencia_s' y (5) la cola de evaluar_binario + UNA figura —la matriz de confusión; la de curvas ROC/PR se dibuja al final del script y queda fuera—. 'Principales' es literal: dentro de la misma ventana caen también el submuestreo de OneClassSVM · la construcción del estimador en cada iteración del grid y un roc_auc_score por configuración — despreciables pero no nulos — así que el tramo (5) no tiene columna propia: es lo que queda al restar de 'tiempo_s' las cuatro columnas de tiempo anteriores. El reparto entre tramos se LEE de las columnas de esta misma fila y no se estima. AVISO al reconstruirlo: los tramos (2) (3) y (4) miden la MISMA operación sobre conjuntos de tamaño distinto así que un cociente CRUDO entre dos de ellos NO es un cociente de coste por flujo: hay que dividirlo por la razón de tamaños de sus conjuntos antes de leerlo — y aun normalizado sigue siendo wall-clock de un pase único en una corrida que no controla ni el estado de caché ni la carga de la máquina ni n_jobs. La comparación normalizada está en PIPELINE.md anclada a su corrida · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,10.213,2.668,22544,0.118349,8449.6,2,df30cb2,2026-08-12T22:27:09
