algoritmo,alcance,balanceo,f1_macro_cv,f1_macro_cv_std,set_features,sin_seleccion,n_features,semilla,commit,fecha
DecisionTree,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,SMOTE,0.935022,0.0165,54,False,54,42,5516b60,2026-08-07T11:51:18
DecisionTree,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,class_weight,0.953018,0.008681,54,False,54,42,5516b60,2026-08-07T11:51:18
RandomForest,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,SMOTE,0.9736,0.007892,54,False,54,42,5516b60,2026-08-07T11:51:18
RandomForest,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,class_weight,0.971484,0.014673,54,False,54,42,5516b60,2026-08-07T11:51:18
KNN,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,SMOTE,0.945349,0.005846,54,False,54,42,5516b60,2026-08-07T11:51:18
KNN,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,nada,0.918701,0.025188,54,False,54,42,5516b60,2026-08-07T11:51:18
HistGradientBoosting,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,SMOTE,0.969377,0.015293,54,False,54,42,5516b60,2026-08-07T11:51:18
HistGradientBoosting,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,nada,0.832673,0.065671,54,False,54,42,5516b60,2026-08-07T11:51:18
DecisionTree,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,SMOTE,0.951343,0.018436,122_sin_seleccion,True,122,42,5516b60,2026-08-07T12:01:36
DecisionTree,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,class_weight,0.956835,0.011815,122_sin_seleccion,True,122,42,5516b60,2026-08-07T12:01:36
RandomForest,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,SMOTE,0.979508,0.009875,122_sin_seleccion,True,122,42,5516b60,2026-08-07T12:01:36
RandomForest,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,class_weight,0.97511,0.018586,122_sin_seleccion,True,122,42,5516b60,2026-08-07T12:01:36
KNN,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,SMOTE,0.952282,0.009577,122_sin_seleccion,True,122,42,5516b60,2026-08-07T12:01:36
KNN,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,nada,0.917212,0.02525,122_sin_seleccion,True,122,42,5516b60,2026-08-07T12:01:36
HistGradientBoosting,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,SMOTE,0.972429,0.014809,122_sin_seleccion,True,122,42,5516b60,2026-08-07T12:01:36
HistGradientBoosting,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · semilla 42) con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,nada,0.804427,0.082367,122_sin_seleccion,True,122,42,5516b60,2026-08-07T12:01:36
