algoritmo,alcance,balanceo,f1_macro_cv,f1_macro_cv_std,set_features,sin_seleccion,n_features,semilla,commit,fecha
DecisionTree,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,SMOTE,0.946656,0.019609,54,False,54,1,df30cb2,2026-08-12T22:10:12
DecisionTree,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,class_weight,0.935263,0.015764,54,False,54,1,df30cb2,2026-08-12T22:10:12
RandomForest,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,SMOTE,0.963805,0.012526,54,False,54,1,df30cb2,2026-08-12T22:10:12
RandomForest,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,class_weight,0.953327,0.008811,54,False,54,1,df30cb2,2026-08-12T22:10:12
KNN,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,SMOTE,0.931477,0.020066,54,False,54,1,df30cb2,2026-08-12T22:10:12
KNN,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,nada,0.925716,0.021302,54,False,54,1,df30cb2,2026-08-12T22:10:12
HistGradientBoosting,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,SMOTE,0.960633,0.020025,54,False,54,1,df30cb2,2026-08-12T22:10:12
HistGradientBoosting,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,nada,0.855399,0.025137,54,False,54,1,df30cb2,2026-08-12T22:10:12
DecisionTree,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,SMOTE,0.967307,0.01055,122_sin_seleccion,True,122,1,df30cb2,2026-08-12T22:19:57
DecisionTree,selección del esquema de balanceo (4.3.4): f1_macro medio en CV sobre D3 (StratifiedKFold 5 · shuffle · la semilla de la corrida está en la columna 'semilla') con SMOTE aplicado SOLO dentro de cada fold vía imblearn.Pipeline — nunca D2 y nunca citable como resultado,class_weight,0.959579,0.008451,122_sin_seleccion,True,122,1,df30cb2,2026-08-12T22:19:57
