algoritmo,alcance,set_features,sin_seleccion,n_features,config_ganadora,f1_macro_cv,accuracy_D2,precision_macro,recall_macro,f1_macro,f1_weighted,bin_accuracy,bin_precision,bin_recall,bin_f1,bin_fpr,bin_roc_auc,bin_pr_auc,bin_tn,bin_fp,bin_fn,bin_tp,recall_0day_global,n_0day,n_test,tiempo_s,alcance_tiempo_s,tiempo_entrenamiento_s,tiempo_inferencia_s,n_inferencia,latencia_ms_por_flujo,flujos_por_segundo,precision_normal,recall_normal,f1_normal,soporte_normal,precision_dos,recall_dos,f1_dos,soporte_dos,precision_probe,recall_probe,f1_probe,soporte_probe,precision_r2l,recall_r2l,f1_r2l,soporte_r2l,precision_u2r,recall_u2r,f1_u2r,soporte_u2r,semilla,commit,fecha
RandomForest_monolitico,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,54,False,54,"{'max_depth': None, 'n_estimators': 300}",0.928529,0.735983,0.743283,0.468996,0.470519,0.688738,0.743479,0.965408,0.569781,0.716617,0.02698,0.958012,0.960647,9449,262,5521,7312,0.130133,3750,22544,33.44,'tiempo_s' = SOLO el entrenamiento (GridSearchCV + refit sobre D1+D3): coincide con 'tiempo_entrenamiento_s' de esta misma fila —el residual entre las dos columnas es cero salvo redondeo— y NO incluye inferencia ni figuras — no comparable con el 'tiempo_s' de metricas_anomalias.csv ni de metricas_firmas.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,33.439,0.131,22544,0.005816,171947.9,0.631196,0.97302,0.76569,9711,0.964074,0.762805,0.85171,7458,0.871143,0.594796,0.706922,2421,0.75,0.004357,0.008664,2754,0.5,0.01,0.019608,200,1,df30cb2,2026-08-12T22:16:04
RandomForest_monolitico,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,122_sin_seleccion,True,122,"{'max_depth': None, 'n_estimators': 300}",0.921534,0.739132,0.764466,0.470505,0.471108,0.691371,0.748802,0.966918,0.578509,0.723904,0.026156,0.958209,0.961543,9457,254,5409,7424,0.153067,3750,22544,37.91,'tiempo_s' = SOLO el entrenamiento (GridSearchCV + refit sobre D1+D3): coincide con 'tiempo_entrenamiento_s' de esta misma fila —el residual entre las dos columnas es cero salvo redondeo— y NO incluye inferencia ni figuras — no comparable con el 'tiempo_s' de metricas_anomalias.csv ni de metricas_firmas.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,37.913,0.135,22544,0.006006,166490.0,0.63615,0.973844,0.769581,9711,0.961429,0.772057,0.856399,7458,0.858084,0.591904,0.700562,2421,0.866667,0.00472,0.00939,2754,0.5,0.01,0.019608,200,1,df30cb2,2026-08-12T22:25:57
RandomForest_monolitico,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,54,False,54,"{'max_depth': None, 'n_estimators': 100}",0.911688,0.735939,0.715525,0.468317,0.46901,0.688677,0.743967,0.965335,0.570716,0.717336,0.027083,0.946162,0.950409,9448,263,5509,7324,0.135733,3750,22544,31.0,'tiempo_s' = SOLO el entrenamiento (GridSearchCV + refit sobre D1+D3): coincide con 'tiempo_entrenamiento_s' de esta misma fila —el residual entre las dos columnas es cero salvo redondeo— y NO incluye inferencia ni figuras — no comparable con el 'tiempo_s' de metricas_anomalias.csv ni de metricas_firmas.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,31.004,0.061,22544,0.002721,367564.8,0.631677,0.972917,0.766013,9711,0.961272,0.762135,0.850198,7458,0.873563,0.596448,0.708886,2421,0.777778,0.005084,0.010101,2754,0.333333,0.005,0.009852,200,2,df30cb2,2026-08-12T22:32:26
RandomForest_monolitico,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,122_sin_seleccion,True,122,"{'max_depth': None, 'n_estimators': 100}",0.910168,0.737624,0.677604,0.468317,0.467256,0.689299,0.747383,0.967024,0.575859,0.721856,0.02595,0.951889,0.95411,9459,252,5443,7390,0.148267,3750,22544,36.26,'tiempo_s' = SOLO el entrenamiento (GridSearchCV + refit sobre D1+D3): coincide con 'tiempo_entrenamiento_s' de esta misma fila —el residual entre las dos columnas es cero salvo redondeo— y NO incluye inferencia ni figuras — no comparable con el 'tiempo_s' de metricas_anomalias.csv ni de metricas_firmas.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,36.256,0.061,22544,0.002699,370574.3,0.634747,0.97405,0.768618,9711,0.961087,0.768302,0.853949,7458,0.858852,0.593143,0.701686,2421,0.6,0.001089,0.002175,2754,0.333333,0.005,0.009852,200,2,df30cb2,2026-08-12T22:41:54
RandomForest_monolitico,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,54,False,54,"{'max_depth': None, 'n_estimators': 100}",0.933265,0.739132,0.748359,0.470598,0.472444,0.691939,0.745254,0.965834,0.572742,0.719073,0.026774,0.956165,0.957005,9451,260,5483,7350,0.14,3750,22544,30.84,'tiempo_s' = SOLO el entrenamiento (GridSearchCV + refit sobre D1+D3): coincide con 'tiempo_entrenamiento_s' de esta misma fila —el residual entre las dos columnas es cero salvo redondeo— y NO incluye inferencia ni figuras — no comparable con el 'tiempo_s' de metricas_anomalias.csv ni de metricas_firmas.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,30.837,0.058,22544,0.002572,388837.8,0.632851,0.973226,0.766971,9711,0.968246,0.772727,0.859508,7458,0.875993,0.592317,0.706752,2421,0.764706,0.00472,0.009383,2754,0.5,0.01,0.019608,200,3,df30cb2,2026-08-12T22:48:16
RandomForest_monolitico,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,122_sin_seleccion,True,122,"{'max_depth': None, 'n_estimators': 300}",0.930031,0.739399,0.762925,0.470901,0.471983,0.69196,0.748891,0.966806,0.578742,0.724056,0.026259,0.958006,0.961283,9456,255,5406,7427,0.153867,3750,22544,38.49,'tiempo_s' = SOLO el entrenamiento (GridSearchCV + refit sobre D1+D3): coincide con 'tiempo_entrenamiento_s' de esta misma fila —el residual entre las dos columnas es cero salvo redondeo— y NO incluye inferencia ni figuras — no comparable con el 'tiempo_s' de metricas_anomalias.csv ni de metricas_firmas.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,38.495,0.157,22544,0.006983,143196.9,0.636254,0.973741,0.769625,9711,0.961603,0.772325,0.856633,7458,0.859628,0.591904,0.701076,2421,0.857143,0.006536,0.012973,2754,0.5,0.01,0.019608,200,3,df30cb2,2026-08-12T22:57:09
RandomForest_monolitico,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,54,False,54,"{'max_depth': None, 'n_estimators': 300}",0.927747,0.735495,0.735582,0.46828,0.469628,0.688145,0.742947,0.96523,0.568924,0.71589,0.027083,0.959039,0.961812,9448,263,5532,7301,0.1288,3750,22544,32.87,'tiempo_s' = SOLO el entrenamiento (GridSearchCV + refit sobre D1+D3): coincide con 'tiempo_entrenamiento_s' de esta misma fila —el residual entre las dos columnas es cero salvo redondeo— y NO incluye inferencia ni figuras — no comparable con el 'tiempo_s' de metricas_anomalias.csv ni de metricas_firmas.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,32.873,0.143,22544,0.006339,157752.7,0.630708,0.972917,0.765299,9711,0.96488,0.762537,0.851857,7458,0.868039,0.592317,0.704149,2421,0.714286,0.003631,0.007225,2754,0.5,0.01,0.019608,200,4,df30cb2,2026-08-12T23:02:48
RandomForest_monolitico,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,122_sin_seleccion,True,122,"{'max_depth': None, 'n_estimators': 300}",0.931073,0.738334,0.716116,0.469073,0.469133,0.690726,0.747871,0.967072,0.576716,0.722542,0.02595,0.958919,0.96152,9459,252,5432,7401,0.147733,3750,22544,37.76,'tiempo_s' = SOLO el entrenamiento (GridSearchCV + refit sobre D1+D3): coincide con 'tiempo_entrenamiento_s' de esta misma fila —el residual entre las dos columnas es cero salvo redondeo— y NO incluye inferencia ni figuras — no comparable con el 'tiempo_s' de metricas_anomalias.csv ni de metricas_firmas.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,37.758,0.137,22544,0.006076,164584.8,0.635216,0.97405,0.768962,9711,0.961461,0.769375,0.854759,7458,0.861094,0.591491,0.701273,2421,0.789474,0.005447,0.010819,2754,0.333333,0.005,0.009852,200,4,df30cb2,2026-08-12T23:10:44
RandomForest_monolitico,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,54,False,54,"{'max_depth': None, 'n_estimators': 300}",0.929572,0.738423,0.713435,0.468959,0.469014,0.690701,0.746496,0.965716,0.57508,0.720879,0.02698,0.958666,0.960819,9449,262,5453,7380,0.1488,3750,22544,32.32,'tiempo_s' = SOLO el entrenamiento (GridSearchCV + refit sobre D1+D3): coincide con 'tiempo_entrenamiento_s' de esta misma fila —el residual entre las dos columnas es cero salvo redondeo— y NO incluye inferencia ni figuras — no comparable con el 'tiempo_s' de metricas_anomalias.csv ni de metricas_firmas.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,32.324,0.13,22544,0.005753,173819.2,0.634076,0.97302,0.767806,9711,0.96318,0.771655,0.856845,7458,0.867353,0.591491,0.70334,2421,0.769231,0.003631,0.007228,2754,0.333333,0.005,0.009852,200,5,df30cb2,2026-08-12T23:16:01
RandomForest_monolitico,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,122_sin_seleccion,True,122,"{'max_depth': None, 'n_estimators': 300}",0.926017,0.736826,0.732454,0.469134,0.469329,0.689009,0.747117,0.966876,0.575469,0.721508,0.026053,0.960621,0.963676,9458,253,5448,7385,0.144533,3750,22544,37.25,'tiempo_s' = SOLO el entrenamiento (GridSearchCV + refit sobre D1+D3): coincide con 'tiempo_entrenamiento_s' de esta misma fila —el residual entre las dos columnas es cero salvo redondeo— y NO incluye inferencia ni figuras — no comparable con el 'tiempo_s' de metricas_anomalias.csv ni de metricas_firmas.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,37.247,0.135,22544,0.005978,167288.4,0.63451,0.973947,0.768412,9711,0.961247,0.76495,0.851938,7458,0.852226,0.593143,0.699464,2421,0.714286,0.003631,0.007225,2754,0.5,0.01,0.019608,200,5,df30cb2,2026-08-12T23:24:42
