alcance,set_features,sin_seleccion,n_features,firma,umbral_conf,origen_umbral_conf,categoria_asignada,n_normales_d2,n_argmax,n_condenadas,n_bajo_umbral,tasa_condena,conf_mediana_argmax,semilla,commit,fecha
medida CONTRAFACTUAL de la cascada invertida (T3): predict_proba del clasificador de firmas YA ENTRENADO sobre la POBLACIÓN de las filas normales de D2 —que en el sistema real NUNCA llegan a la etapa 2— para contar cuántas conservarían etiqueta de ataque con confianza >= UMBRAL_CONF. NO describe el híbrido publicado y NO es comparable con ninguna columna de metricas_firmas.csv ni de metricas_hibrido.csv. La etapa 2 carece de clase 'normal' (D3 son solo ataques) así que etiqueta como ataque TODA fila: por eso 'n_argmax' de '__global__' es el total de normales. DENOMINADOR de 'tasa_condena': ese total y no el bucket de la fila —así los RECUENTOS de las cuatro categorías suman el de '__global__'; las tasas solo hasta el redondeo—. LÍMITE: 'tasa_condena' de '__global__' es COTA INFERIOR del FPR de un sistema de firmas-primero y lo citable es 'n_condenadas' — el porqué está en el puntero y no se replica aquí. UMBRAL_CONF se lee del descriptor del híbrido (ver 'origen_umbral_conf') donde lo dejó la calibración out-of-fold sobre D3. Cero fit: solo inferencia sobre modelos persistidos y D2 SOLO se reporta — ninguna decisión sale de esta tabla (P-4). Lectura cifras y porqué del límite: Implementacion/PIPELINE.md sección 'La cascada invertida (T3)',54,False,54,RandomForest,0.5,hibrido_54_semilla1.joblib::umbral_conf_elegido,dos,9711,6878,4201,2677,0.432602,0.521925,1,df30cb2,2026-08-12T22:15:25
medida CONTRAFACTUAL de la cascada invertida (T3): predict_proba del clasificador de firmas YA ENTRENADO sobre la POBLACIÓN de las filas normales de D2 —que en el sistema real NUNCA llegan a la etapa 2— para contar cuántas conservarían etiqueta de ataque con confianza >= UMBRAL_CONF. NO describe el híbrido publicado y NO es comparable con ninguna columna de metricas_firmas.csv ni de metricas_hibrido.csv. La etapa 2 carece de clase 'normal' (D3 son solo ataques) así que etiqueta como ataque TODA fila: por eso 'n_argmax' de '__global__' es el total de normales. DENOMINADOR de 'tasa_condena': ese total y no el bucket de la fila —así los RECUENTOS de las cuatro categorías suman el de '__global__'; las tasas solo hasta el redondeo—. LÍMITE: 'tasa_condena' de '__global__' es COTA INFERIOR del FPR de un sistema de firmas-primero y lo citable es 'n_condenadas' — el porqué está en el puntero y no se replica aquí. UMBRAL_CONF se lee del descriptor del híbrido (ver 'origen_umbral_conf') donde lo dejó la calibración out-of-fold sobre D3. Cero fit: solo inferencia sobre modelos persistidos y D2 SOLO se reporta — ninguna decisión sale de esta tabla (P-4). Lectura cifras y porqué del límite: Implementacion/PIPELINE.md sección 'La cascada invertida (T3)',54,False,54,RandomForest,0.5,hibrido_54_semilla1.joblib::umbral_conf_elegido,probe,9711,1023,706,317,0.072701,0.61651,1,df30cb2,2026-08-12T22:15:25
medida CONTRAFACTUAL de la cascada invertida (T3): predict_proba del clasificador de firmas YA ENTRENADO sobre la POBLACIÓN de las filas normales de D2 —que en el sistema real NUNCA llegan a la etapa 2— para contar cuántas conservarían etiqueta de ataque con confianza >= UMBRAL_CONF. NO describe el híbrido publicado y NO es comparable con ninguna columna de metricas_firmas.csv ni de metricas_hibrido.csv. La etapa 2 carece de clase 'normal' (D3 son solo ataques) así que etiqueta como ataque TODA fila: por eso 'n_argmax' de '__global__' es el total de normales. DENOMINADOR de 'tasa_condena': ese total y no el bucket de la fila —así los RECUENTOS de las cuatro categorías suman el de '__global__'; las tasas solo hasta el redondeo—. LÍMITE: 'tasa_condena' de '__global__' es COTA INFERIOR del FPR de un sistema de firmas-primero y lo citable es 'n_condenadas' — el porqué está en el puntero y no se replica aquí. UMBRAL_CONF se lee del descriptor del híbrido (ver 'origen_umbral_conf') donde lo dejó la calibración out-of-fold sobre D3. Cero fit: solo inferencia sobre modelos persistidos y D2 SOLO se reporta — ninguna decisión sale de esta tabla (P-4). Lectura cifras y porqué del límite: Implementacion/PIPELINE.md sección 'La cascada invertida (T3)',54,False,54,RandomForest,0.5,hibrido_54_semilla1.joblib::umbral_conf_elegido,r2l,9711,1786,700,1086,0.072083,0.475956,1,df30cb2,2026-08-12T22:15:25
medida CONTRAFACTUAL de la cascada invertida (T3): predict_proba del clasificador de firmas YA ENTRENADO sobre la POBLACIÓN de las filas normales de D2 —que en el sistema real NUNCA llegan a la etapa 2— para contar cuántas conservarían etiqueta de ataque con confianza >= UMBRAL_CONF. NO describe el híbrido publicado y NO es comparable con ninguna columna de metricas_firmas.csv ni de metricas_hibrido.csv. La etapa 2 carece de clase 'normal' (D3 son solo ataques) así que etiqueta como ataque TODA fila: por eso 'n_argmax' de '__global__' es el total de normales. DENOMINADOR de 'tasa_condena': ese total y no el bucket de la fila —así los RECUENTOS de las cuatro categorías suman el de '__global__'; las tasas solo hasta el redondeo—. LÍMITE: 'tasa_condena' de '__global__' es COTA INFERIOR del FPR de un sistema de firmas-primero y lo citable es 'n_condenadas' — el porqué está en el puntero y no se replica aquí. UMBRAL_CONF se lee del descriptor del híbrido (ver 'origen_umbral_conf') donde lo dejó la calibración out-of-fold sobre D3. Cero fit: solo inferencia sobre modelos persistidos y D2 SOLO se reporta — ninguna decisión sale de esta tabla (P-4). Lectura cifras y porqué del límite: Implementacion/PIPELINE.md sección 'La cascada invertida (T3)',54,False,54,RandomForest,0.5,hibrido_54_semilla1.joblib::umbral_conf_elegido,u2r,9711,24,16,8,0.001648,0.628886,1,df30cb2,2026-08-12T22:15:25
medida CONTRAFACTUAL de la cascada invertida (T3): predict_proba del clasificador de firmas YA ENTRENADO sobre la POBLACIÓN de las filas normales de D2 —que en el sistema real NUNCA llegan a la etapa 2— para contar cuántas conservarían etiqueta de ataque con confianza >= UMBRAL_CONF. NO describe el híbrido publicado y NO es comparable con ninguna columna de metricas_firmas.csv ni de metricas_hibrido.csv. La etapa 2 carece de clase 'normal' (D3 son solo ataques) así que etiqueta como ataque TODA fila: por eso 'n_argmax' de '__global__' es el total de normales. DENOMINADOR de 'tasa_condena': ese total y no el bucket de la fila —así los RECUENTOS de las cuatro categorías suman el de '__global__'; las tasas solo hasta el redondeo—. LÍMITE: 'tasa_condena' de '__global__' es COTA INFERIOR del FPR de un sistema de firmas-primero y lo citable es 'n_condenadas' — el porqué está en el puntero y no se replica aquí. UMBRAL_CONF se lee del descriptor del híbrido (ver 'origen_umbral_conf') donde lo dejó la calibración out-of-fold sobre D3. Cero fit: solo inferencia sobre modelos persistidos y D2 SOLO se reporta — ninguna decisión sale de esta tabla (P-4). Lectura cifras y porqué del límite: Implementacion/PIPELINE.md sección 'La cascada invertida (T3)',54,False,54,RandomForest,0.5,hibrido_54_semilla1.joblib::umbral_conf_elegido,__global__,9711,9711,5623,4088,0.579034,0.513141,1,df30cb2,2026-08-12T22:15:26
medida CONTRAFACTUAL de la cascada invertida (T3): predict_proba del clasificador de firmas YA ENTRENADO sobre la POBLACIÓN de las filas normales de D2 —que en el sistema real NUNCA llegan a la etapa 2— para contar cuántas conservarían etiqueta de ataque con confianza >= UMBRAL_CONF. NO describe el híbrido publicado y NO es comparable con ninguna columna de metricas_firmas.csv ni de metricas_hibrido.csv. La etapa 2 carece de clase 'normal' (D3 son solo ataques) así que etiqueta como ataque TODA fila: por eso 'n_argmax' de '__global__' es el total de normales. DENOMINADOR de 'tasa_condena': ese total y no el bucket de la fila —así los RECUENTOS de las cuatro categorías suman el de '__global__'; las tasas solo hasta el redondeo—. LÍMITE: 'tasa_condena' de '__global__' es COTA INFERIOR del FPR de un sistema de firmas-primero y lo citable es 'n_condenadas' — el porqué está en el puntero y no se replica aquí. UMBRAL_CONF se lee del descriptor del híbrido (ver 'origen_umbral_conf') donde lo dejó la calibración out-of-fold sobre D3. Cero fit: solo inferencia sobre modelos persistidos y D2 SOLO se reporta — ninguna decisión sale de esta tabla (P-4). Lectura cifras y porqué del límite: Implementacion/PIPELINE.md sección 'La cascada invertida (T3)',122_sin_seleccion,True,122,RandomForest,0.4,hibrido_122_sin_seleccion_semilla1.joblib::umbral_conf_elegido,dos,9711,5909,4982,927,0.513026,0.443527,1,df30cb2,2026-08-12T22:25:15
medida CONTRAFACTUAL de la cascada invertida (T3): predict_proba del clasificador de firmas YA ENTRENADO sobre la POBLACIÓN de las filas normales de D2 —que en el sistema real NUNCA llegan a la etapa 2— para contar cuántas conservarían etiqueta de ataque con confianza >= UMBRAL_CONF. NO describe el híbrido publicado y NO es comparable con ninguna columna de metricas_firmas.csv ni de metricas_hibrido.csv. La etapa 2 carece de clase 'normal' (D3 son solo ataques) así que etiqueta como ataque TODA fila: por eso 'n_argmax' de '__global__' es el total de normales. DENOMINADOR de 'tasa_condena': ese total y no el bucket de la fila —así los RECUENTOS de las cuatro categorías suman el de '__global__'; las tasas solo hasta el redondeo—. LÍMITE: 'tasa_condena' de '__global__' es COTA INFERIOR del FPR de un sistema de firmas-primero y lo citable es 'n_condenadas' — el porqué está en el puntero y no se replica aquí. UMBRAL_CONF se lee del descriptor del híbrido (ver 'origen_umbral_conf') donde lo dejó la calibración out-of-fold sobre D3. Cero fit: solo inferencia sobre modelos persistidos y D2 SOLO se reporta — ninguna decisión sale de esta tabla (P-4). Lectura cifras y porqué del límite: Implementacion/PIPELINE.md sección 'La cascada invertida (T3)',122_sin_seleccion,True,122,RandomForest,0.4,hibrido_122_sin_seleccion_semilla1.joblib::umbral_conf_elegido,probe,9711,1403,1327,76,0.136649,0.465996,1,df30cb2,2026-08-12T22:25:15
medida CONTRAFACTUAL de la cascada invertida (T3): predict_proba del clasificador de firmas YA ENTRENADO sobre la POBLACIÓN de las filas normales de D2 —que en el sistema real NUNCA llegan a la etapa 2— para contar cuántas conservarían etiqueta de ataque con confianza >= UMBRAL_CONF. NO describe el híbrido publicado y NO es comparable con ninguna columna de metricas_firmas.csv ni de metricas_hibrido.csv. La etapa 2 carece de clase 'normal' (D3 son solo ataques) así que etiqueta como ataque TODA fila: por eso 'n_argmax' de '__global__' es el total de normales. DENOMINADOR de 'tasa_condena': ese total y no el bucket de la fila —así los RECUENTOS de las cuatro categorías suman el de '__global__'; las tasas solo hasta el redondeo—. LÍMITE: 'tasa_condena' de '__global__' es COTA INFERIOR del FPR de un sistema de firmas-primero y lo citable es 'n_condenadas' — el porqué está en el puntero y no se replica aquí. UMBRAL_CONF se lee del descriptor del híbrido (ver 'origen_umbral_conf') donde lo dejó la calibración out-of-fold sobre D3. Cero fit: solo inferencia sobre modelos persistidos y D2 SOLO se reporta — ninguna decisión sale de esta tabla (P-4). Lectura cifras y porqué del límite: Implementacion/PIPELINE.md sección 'La cascada invertida (T3)',122_sin_seleccion,True,122,RandomForest,0.4,hibrido_122_sin_seleccion_semilla1.joblib::umbral_conf_elegido,r2l,9711,2333,1933,400,0.199053,0.466532,1,df30cb2,2026-08-12T22:25:15
medida CONTRAFACTUAL de la cascada invertida (T3): predict_proba del clasificador de firmas YA ENTRENADO sobre la POBLACIÓN de las filas normales de D2 —que en el sistema real NUNCA llegan a la etapa 2— para contar cuántas conservarían etiqueta de ataque con confianza >= UMBRAL_CONF. NO describe el híbrido publicado y NO es comparable con ninguna columna de metricas_firmas.csv ni de metricas_hibrido.csv. La etapa 2 carece de clase 'normal' (D3 son solo ataques) así que etiqueta como ataque TODA fila: por eso 'n_argmax' de '__global__' es el total de normales. DENOMINADOR de 'tasa_condena': ese total y no el bucket de la fila —así los RECUENTOS de las cuatro categorías suman el de '__global__'; las tasas solo hasta el redondeo—. LÍMITE: 'tasa_condena' de '__global__' es COTA INFERIOR del FPR de un sistema de firmas-primero y lo citable es 'n_condenadas' — el porqué está en el puntero y no se replica aquí. UMBRAL_CONF se lee del descriptor del híbrido (ver 'origen_umbral_conf') donde lo dejó la calibración out-of-fold sobre D3. Cero fit: solo inferencia sobre modelos persistidos y D2 SOLO se reporta — ninguna decisión sale de esta tabla (P-4). Lectura cifras y porqué del límite: Implementacion/PIPELINE.md sección 'La cascada invertida (T3)',122_sin_seleccion,True,122,RandomForest,0.4,hibrido_122_sin_seleccion_semilla1.joblib::umbral_conf_elegido,u2r,9711,66,42,24,0.004325,0.441065,1,df30cb2,2026-08-12T22:25:15
medida CONTRAFACTUAL de la cascada invertida (T3): predict_proba del clasificador de firmas YA ENTRENADO sobre la POBLACIÓN de las filas normales de D2 —que en el sistema real NUNCA llegan a la etapa 2— para contar cuántas conservarían etiqueta de ataque con confianza >= UMBRAL_CONF. NO describe el híbrido publicado y NO es comparable con ninguna columna de metricas_firmas.csv ni de metricas_hibrido.csv. La etapa 2 carece de clase 'normal' (D3 son solo ataques) así que etiqueta como ataque TODA fila: por eso 'n_argmax' de '__global__' es el total de normales. DENOMINADOR de 'tasa_condena': ese total y no el bucket de la fila —así los RECUENTOS de las cuatro categorías suman el de '__global__'; las tasas solo hasta el redondeo—. LÍMITE: 'tasa_condena' de '__global__' es COTA INFERIOR del FPR de un sistema de firmas-primero y lo citable es 'n_condenadas' — el porqué está en el puntero y no se replica aquí. UMBRAL_CONF se lee del descriptor del híbrido (ver 'origen_umbral_conf') donde lo dejó la calibración out-of-fold sobre D3. Cero fit: solo inferencia sobre modelos persistidos y D2 SOLO se reporta — ninguna decisión sale de esta tabla (P-4). Lectura cifras y porqué del límite: Implementacion/PIPELINE.md sección 'La cascada invertida (T3)',122_sin_seleccion,True,122,RandomForest,0.4,hibrido_122_sin_seleccion_semilla1.joblib::umbral_conf_elegido,__global__,9711,9711,8284,1427,0.853053,0.448879,1,df30cb2,2026-08-12T22:25:15
