algoritmo,alcance,set_features,sin_seleccion,n_features,balanceo,config_ganadora,f1_macro_cv,accuracy_D2,precision_macro,recall_macro,f1_macro,f1_weighted,n_test,tiempo_s,alcance_tiempo_s,tiempo_entrenamiento_s,tiempo_inferencia_s,n_inferencia,latencia_ms_por_flujo,flujos_por_segundo,precision_dos,recall_dos,f1_dos,soporte_dos,precision_probe,recall_probe,f1_probe,soporte_probe,precision_r2l,recall_r2l,f1_r2l,soporte_r2l,precision_u2r,recall_u2r,f1_u2r,soporte_u2r,semilla,commit,fecha
DecisionTree,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,54,False,54,SMOTE,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1}",0.946656,0.882087,0.657087,0.746736,0.652509,0.900115,9083,17.41,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,17.153,0.002,9083,0.00026,3841079.3,0.998504,0.929803,0.96293,5741,0.600763,0.997288,0.74983,1106,0.989206,0.708504,0.825649,2199,0.039877,0.351351,0.071625,37,1,df30cb2,2026-08-12T22:13:26
RandomForest,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,54,False,54,SMOTE,"{'clf__max_depth': 10, 'clf__n_estimators': 100}",0.967808,0.969173,0.804723,0.823423,0.811342,0.969674,9083,52.47,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,51.994,0.049,9083,0.005405,185030.5,0.999825,0.996516,0.998168,5741,0.824758,1.0,0.903964,1106,0.988906,0.891769,0.937829,2199,0.405405,0.405405,0.405405,37,1,df30cb2,2026-08-12T22:13:26
KNN,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,54,False,54,SMOTE,"{'clf__n_neighbors': 3, 'clf__weights': 'distance'}",0.931652,0.952439,0.744262,0.893301,0.766781,0.957006,9083,51.9,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,49.766,1.789,9083,0.197,5076.1,0.991489,0.994252,0.992868,5741,0.827715,0.999096,0.905367,1106,0.995052,0.823101,0.900946,2199,0.162791,0.756757,0.267943,37,1,df30cb2,2026-08-12T22:13:27
HistGradientBoosting,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,54,False,54,SMOTE,"{'clf__learning_rate': 0.05, 'clf__max_iter': 300}",0.962403,0.945833,0.760627,0.835791,0.784156,0.948213,9083,72.3,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,71.674,0.128,9083,0.014064,71105.9,0.999471,0.988155,0.993781,5741,0.717999,0.999096,0.835539,1106,0.991704,0.815371,0.894934,2199,0.333333,0.540541,0.412371,37,1,df30cb2,2026-08-12T22:13:27
DecisionTree,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,122_sin_seleccion,True,122,SMOTE,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1}",0.967307,0.869867,0.651508,0.724169,0.640043,0.891985,9083,25.92,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,25.624,0.005,9083,0.000498,2009335.4,0.998111,0.920397,0.95768,5741,0.597283,0.993671,0.746096,1106,0.984324,0.685312,0.808043,2199,0.026316,0.297297,0.048352,37,1,df30cb2,2026-08-12T22:24:48
RandomForest,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,122_sin_seleccion,True,122,SMOTE,"{'clf__max_depth': 10, 'clf__n_estimators': 100}",0.971763,0.973357,0.782223,0.870758,0.811732,0.975097,9083,57.65,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,57.281,0.047,9083,0.005127,195031.8,1.0,0.988678,0.994307,5741,0.867451,1.0,0.929021,1106,0.99221,0.926785,0.958382,2199,0.269231,0.567568,0.365217,37,1,df30cb2,2026-08-12T22:24:48
KNN,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,122_sin_seleccion,True,122,SMOTE,"{'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.937419,0.952879,0.745646,0.894598,0.757582,0.960907,9083,80.99,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,77.966,2.674,9083,0.294427,3396.4,0.990781,0.992162,0.991471,5741,0.884708,0.999096,0.938429,1106,0.995095,0.830377,0.905305,2199,0.112,0.756757,0.195122,37,1,df30cb2,2026-08-12T22:24:48
HistGradientBoosting,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,122_sin_seleccion,True,122,SMOTE,"{'clf__learning_rate': 0.1, 'clf__max_iter': 100}",0.966037,0.938456,0.712979,0.814116,0.731476,0.942866,9083,126.37,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,125.966,0.045,9083,0.004946,202179.6,0.999824,0.990071,0.994924,5741,0.718466,0.999096,0.835855,1106,0.989625,0.780809,0.872903,2199,0.144,0.486486,0.222222,37,1,df30cb2,2026-08-12T22:24:48
DecisionTree,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,54,False,54,SMOTE,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1}",0.953289,0.898822,0.728635,0.752606,0.7167,0.903997,9083,17.39,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,17.102,0.002,9083,0.000265,3769349.0,0.999464,0.974917,0.987038,5741,0.557576,0.998192,0.715489,1106,0.989078,0.658936,0.790939,2199,0.368421,0.378378,0.373333,37,2,df30cb2,2026-08-12T22:31:15
RandomForest,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,54,False,54,SMOTE,"{'clf__max_depth': 10, 'clf__n_estimators': 300}",0.977175,0.970494,0.80661,0.825208,0.813462,0.970987,9083,56.48,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,56.103,0.076,9083,0.008391,119181.0,0.999825,0.995471,0.997643,5741,0.832205,1.0,0.908419,1106,0.989005,0.899955,0.942381,2199,0.405405,0.405405,0.405405,37,2,df30cb2,2026-08-12T22:31:15
