alcance,set_features,sin_seleccion,n_features,detector,es_cascada,fpr_detector,tipo,n,detectados,recall,semilla,commit,fecha
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,apache2,737,733,0.994573,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,httptunnel,133,112,0.842105,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,mailbomb,293,3,0.010239,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,mscan,996,951,0.954819,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,named,17,6,0.352941,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,processtable,685,350,0.510949,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,ps,15,2,0.133333,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,saint,319,316,0.990596,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,sendmail,14,4,0.285714,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,snmpgetattack,178,27,0.151685,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,snmpguess,331,245,0.740181,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,sqlattack,2,2,1.0,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,udpstorm,2,2,1.0,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,worm,2,0,0.0,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,xlock,9,1,0.111111,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,xsnoop,4,1,0.25,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,xterm,13,8,0.615385,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100196,__global__,3750,2763,0.7368,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,OneClassSVM,False,0.084852,apache2,737,714,0.968792,42,38fdd4b,2026-08-07T10:14:27
