alcance,set_features,sin_seleccion,n_features,detector,es_cascada,fpr_detector,tipo,n,detectados,recall,semilla,commit,fecha
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,apache2,737,733,0.994573,1,df30cb2,2026-08-12T22:14:46
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,httptunnel,133,113,0.849624,1,df30cb2,2026-08-12T22:14:46
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,mailbomb,293,2,0.006826,1,df30cb2,2026-08-12T22:14:47
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,mscan,996,962,0.965863,1,df30cb2,2026-08-12T22:14:48
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,named,17,8,0.470588,1,df30cb2,2026-08-12T22:14:48
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,processtable,685,194,0.283212,1,df30cb2,2026-08-12T22:14:48
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,ps,15,2,0.133333,1,df30cb2,2026-08-12T22:14:49
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,saint,319,316,0.990596,1,df30cb2,2026-08-12T22:14:49
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,sendmail,14,2,0.142857,1,df30cb2,2026-08-12T22:14:49
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,snmpgetattack,178,25,0.140449,1,df30cb2,2026-08-12T22:14:49
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,snmpguess,331,234,0.706949,1,df30cb2,2026-08-12T22:14:50
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,sqlattack,2,2,1.0,1,df30cb2,2026-08-12T22:14:50
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,udpstorm,2,2,1.0,1,df30cb2,2026-08-12T22:14:50
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,worm,2,0,0.0,1,df30cb2,2026-08-12T22:14:51
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,xlock,9,1,0.111111,1,df30cb2,2026-08-12T22:14:51
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,xsnoop,4,1,0.25,1,df30cb2,2026-08-12T22:14:51
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,xterm,13,8,0.615385,1,df30cb2,2026-08-12T22:14:52
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.097827,__global__,3750,2605,0.694667,1,df30cb2,2026-08-12T22:14:52
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,OneClassSVM,False,0.083102,apache2,737,717,0.972863,1,df30cb2,2026-08-12T22:14:52
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,OneClassSVM,False,0.083102,httptunnel,133,112,0.842105,1,df30cb2,2026-08-12T22:14:52
