alcance,set_features,sin_seleccion,n_features,detector,firma,umbral_conf,elegido,oof_recall_macro_conocidas,oof_recall_macro_baseline,oof_tasa_falsos_unknown,d2_f1_macro_5_conservador,d2_recall_0day_global,d2_pct_unknown_entre_0day_det,semilla,commit,fecha
sensibilidad de UMBRAL_CONF: las columnas 'oof_' son out-of-fold sobre D3 y de ellas SALE la decisión; las columnas 'd2_' son sobre D2 completo y solo se REPORTAN (nunca deciden),54,False,54,Autoencoder,RandomForest,0.4,False,0.964736,0.969565,5.1e-05,0.629379,0.732267,0.004734,1,df30cb2,2026-08-12T22:14:45
sensibilidad de UMBRAL_CONF: las columnas 'oof_' son out-of-fold sobre D3 y de ellas SALE la decisión; las columnas 'd2_' son sobre D2 completo y solo se REPORTAN (nunca deciden),54,False,54,Autoencoder,RandomForest,0.5,True,0.963923,0.969565,0.000256,0.614058,0.732267,0.093591,1,df30cb2,2026-08-12T22:14:45
sensibilidad de UMBRAL_CONF: las columnas 'oof_' son out-of-fold sobre D3 y de ellas SALE la decisión; las columnas 'd2_' son sobre D2 completo y solo se REPORTAN (nunca deciden),54,False,54,Autoencoder,RandomForest,0.6,False,0.947857,0.969565,0.000853,0.584465,0.732267,0.315004,1,df30cb2,2026-08-12T22:14:46
sensibilidad de UMBRAL_CONF: las columnas 'oof_' son out-of-fold sobre D3 y de ellas SALE la decisión; las columnas 'd2_' son sobre D2 completo y solo se REPORTAN (nunca deciden),122_sin_seleccion,True,122,Autoencoder,RandomForest,0.4,True,0.978635,0.983464,5.1e-05,0.67115,0.78,0.136752,1,df30cb2,2026-08-12T22:25:12
sensibilidad de UMBRAL_CONF: las columnas 'oof_' son out-of-fold sobre D3 y de ellas SALE la decisión; las columnas 'd2_' son sobre D2 completo y solo se REPORTAN (nunca deciden),122_sin_seleccion,True,122,Autoencoder,RandomForest,0.5,False,0.96281,0.983464,0.000631,0.630887,0.78,0.219829,1,df30cb2,2026-08-12T22:25:12
sensibilidad de UMBRAL_CONF: las columnas 'oof_' son out-of-fold sobre D3 y de ellas SALE la decisión; las columnas 'd2_' son sobre D2 completo y solo se REPORTAN (nunca deciden),122_sin_seleccion,True,122,Autoencoder,RandomForest,0.6,False,0.936068,0.983464,0.001723,0.601514,0.78,0.381538,1,df30cb2,2026-08-12T22:25:12
sensibilidad de UMBRAL_CONF: las columnas 'oof_' son out-of-fold sobre D3 y de ellas SALE la decisión; las columnas 'd2_' son sobre D2 completo y solo se REPORTAN (nunca deciden),54,False,54,Autoencoder,RandomForest,0.4,False,0.974844,0.979651,1.7e-05,0.630872,0.766933,0.015647,2,df30cb2,2026-08-12T22:31:49
sensibilidad de UMBRAL_CONF: las columnas 'oof_' son out-of-fold sobre D3 y de ellas SALE la decisión; las columnas 'd2_' son sobre D2 completo y solo se REPORTAN (nunca deciden),54,False,54,Autoencoder,RandomForest,0.5,True,0.964634,0.979651,0.000341,0.607947,0.766933,0.186718,2,df30cb2,2026-08-12T22:31:49
sensibilidad de UMBRAL_CONF: las columnas 'oof_' son out-of-fold sobre D3 y de ellas SALE la decisión; las columnas 'd2_' son sobre D2 completo y solo se REPORTAN (nunca deciden),54,False,54,Autoencoder,RandomForest,0.6,False,0.938418,0.979651,0.000938,0.58362,0.766933,0.35153,2,df30cb2,2026-08-12T22:31:49
sensibilidad de UMBRAL_CONF: las columnas 'oof_' son out-of-fold sobre D3 y de ellas SALE la decisión; las columnas 'd2_' son sobre D2 completo y solo se REPORTAN (nunca deciden),122_sin_seleccion,True,122,Autoencoder,RandomForest,0.4,False,0.970592,0.970592,0.0,0.587114,0.7576,0.036607,2,df30cb2,2026-08-12T22:41:10
