algoritmo,alcance,set_features,sin_seleccion,n_features,detector,firma,umbral_conf_elegido,tau,bin_recall,bin_precision,bin_f1,bin_fpr,bin_accuracy,bin_roc_auc,bin_pr_auc,bin_tn,bin_fp,bin_fn,bin_tp,conocida_precision_macro,conocida_recall_macro,conocida_f1_macro,n_conocida,f1_macro_5_conservador,accuracy_5,recall_0day_global,n_0day,fpr_cascada,tiempo_s,alcance_tiempo_s,tiempo_entrenamiento_s,tiempo_inferencia_s,n_inferencia,latencia_ms_por_flujo,flujos_por_segundo,semilla,commit,fecha
Autoencoder->RandomForest,cascada extremo a extremo (5 clases + unknown) sobre D2 completo; ojo: 'tiempo_entrenamiento_s' aquí es SOLO la calibración de UMBRAL_CONF por OOF sobre D3 — el híbrido no re-entrena las dos etapas. Y ojo también: 'fpr_cascada' y 'bin_fpr' son EL MISMO NÚMERO por construcción y no dos medidas — la etapa 2 solo reclasifica los flujos que la etapa 1 marcó como sospechosos y nunca devuelve uno a 'normal' así que el FPR de la cascada es por fuerza el de la etapa 1; se publican las dos porque P-2 pide el FPR junto al titular de 0-day y H-5 pide el bloque binario completo,54,False,54,Autoencoder,RandomForest,0.5,0.02,0.819839,0.911304,0.863155,0.105447,0.852023,0.924182,0.924107,8687,1024,2312,10521,0.91121,0.65595,0.722873,9083,0.614058,0.786373,0.732267,3750,0.105447,20.29,'tiempo_s' = el tramo de la corrida que va desde la carga de los splits hasta el cierre de esta fila (carga de D1/D2/D3 + carga de los .joblib de las dos etapas + calibración OOF sobre D3 = 'tiempo_entrenamiento_s' + cascada sobre D2 = 'tiempo_inferencia_s' + tabla de sensibilidad de los 3 umbrales); lo que queda al restar esas dos columnas son la carga de los splits los dos .joblib y las pasadas de métricas de la tabla de sensibilidad — ninguna columna los mide por separado. NO incluye lo que se hace DESPUÉS de tomar la medida: la figura 5x6 · la tabla 0-day de los cuatro detectores · la escritura de los CSV — de ahí que el log del script imprima una cifra mayor que esta; no es tiempo de ajuste —el híbrido no re-entrena— ni comparable con el 'tiempo_s' de las otras tres tablas · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,10.806,0.082,22544,0.003655,273583.9,1,df30cb2,2026-08-12T22:15:11
Autoencoder->RandomForest,cascada extremo a extremo (5 clases + unknown) sobre D2 completo; ojo: 'tiempo_entrenamiento_s' aquí es SOLO la calibración de UMBRAL_CONF por OOF sobre D3 — el híbrido no re-entrena las dos etapas. Y ojo también: 'fpr_cascada' y 'bin_fpr' son EL MISMO NÚMERO por construcción y no dos medidas — la etapa 2 solo reclasifica los flujos que la etapa 1 marcó como sospechosos y nunca devuelve uno a 'normal' así que el FPR de la cascada es por fuerza el de la etapa 1; se publican las dos porque P-2 pide el FPR junto al titular de 0-day y H-5 pide el bloque binario completo,122_sin_seleccion,True,122,Autoencoder,RandomForest,0.4,0.02,0.862308,0.924787,0.892455,0.092678,0.881698,0.942221,0.948363,8811,900,1767,11066,0.847264,0.75419,0.786101,9083,0.67115,0.812677,0.78,3750,0.092678,14.1,'tiempo_s' = el tramo de la corrida que va desde la carga de los splits hasta el cierre de esta fila (carga de D1/D2/D3 + carga de los .joblib de las dos etapas + calibración OOF sobre D3 = 'tiempo_entrenamiento_s' + cascada sobre D2 = 'tiempo_inferencia_s' + tabla de sensibilidad de los 3 umbrales); lo que queda al restar esas dos columnas son la carga de los splits los dos .joblib y las pasadas de métricas de la tabla de sensibilidad — ninguna columna los mide por separado. NO incluye lo que se hace DESPUÉS de tomar la medida: la figura 5x6 · la tabla 0-day de los cuatro detectores · la escritura de los CSV — de ahí que el log del script imprima una cifra mayor que esta; no es tiempo de ajuste —el híbrido no re-entrena— ni comparable con el 'tiempo_s' de las otras tres tablas · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,11.94,0.094,22544,0.004176,239482.5,1,df30cb2,2026-08-12T22:25:12
Autoencoder->RandomForest,cascada extremo a extremo (5 clases + unknown) sobre D2 completo; ojo: 'tiempo_entrenamiento_s' aquí es SOLO la calibración de UMBRAL_CONF por OOF sobre D3 — el híbrido no re-entrena las dos etapas. Y ojo también: 'fpr_cascada' y 'bin_fpr' son EL MISMO NÚMERO por construcción y no dos medidas — la etapa 2 solo reclasifica los flujos que la etapa 1 marcó como sospechosos y nunca devuelve uno a 'normal' así que el FPR de la cascada es por fuerza el de la etapa 1; se publican las dos porque P-2 pide el FPR junto al titular de 0-day y H-5 pide el bloque binario completo,54,False,54,Autoencoder,RandomForest,0.5,0.02,0.827008,0.91452,0.868565,0.102152,0.857523,0.935129,0.929914,8719,992,2220,10613,0.88254,0.640606,0.710583,9083,0.607947,0.782825,0.766933,3750,0.102152,24.08,'tiempo_s' = el tramo de la corrida que va desde la carga de los splits hasta el cierre de esta fila (carga de D1/D2/D3 + carga de los .joblib de las dos etapas + calibración OOF sobre D3 = 'tiempo_entrenamiento_s' + cascada sobre D2 = 'tiempo_inferencia_s' + tabla de sensibilidad de los 3 umbrales); lo que queda al restar esas dos columnas son la carga de los splits los dos .joblib y las pasadas de métricas de la tabla de sensibilidad — ninguna columna los mide por separado. NO incluye lo que se hace DESPUÉS de tomar la medida: la figura 5x6 · la tabla 0-day de los cuatro detectores · la escritura de los CSV — de ahí que el log del script imprima una cifra mayor que esta; no es tiempo de ajuste —el híbrido no re-entrena— ni comparable con el 'tiempo_s' de las otras tres tablas · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,22.369,0.091,22544,0.004058,246401.9,2,df30cb2,2026-08-12T22:31:49
Autoencoder->RandomForest,cascada extremo a extremo (5 clases + unknown) sobre D2 completo; ojo: 'tiempo_entrenamiento_s' aquí es SOLO la calibración de UMBRAL_CONF por OOF sobre D3 — el híbrido no re-entrena las dos etapas. Y ojo también: 'fpr_cascada' y 'bin_fpr' son EL MISMO NÚMERO por construcción y no dos medidas — la etapa 2 solo reclasifica los flujos que la etapa 1 marcó como sospechosos y nunca devuelve uno a 'normal' así que el FPR de la cascada es por fuerza el de la etapa 1; se publican las dos porque P-2 pide el FPR junto al titular de 0-day y H-5 pide el bloque binario completo,122_sin_seleccion,True,122,Autoencoder,RandomForest,0.5,0.02,0.835346,0.925494,0.878113,0.088868,0.867991,0.951374,0.957157,8848,863,2113,10720,0.821061,0.589662,0.614945,9083,0.560957,0.762598,0.7576,3750,0.088868,27.59,'tiempo_s' = el tramo de la corrida que va desde la carga de los splits hasta el cierre de esta fila (carga de D1/D2/D3 + carga de los .joblib de las dos etapas + calibración OOF sobre D3 = 'tiempo_entrenamiento_s' + cascada sobre D2 = 'tiempo_inferencia_s' + tabla de sensibilidad de los 3 umbrales); lo que queda al restar esas dos columnas son la carga de los splits los dos .joblib y las pasadas de métricas de la tabla de sensibilidad — ninguna columna los mide por separado. NO incluye lo que se hace DESPUÉS de tomar la medida: la figura 5x6 · la tabla 0-day de los cuatro detectores · la escritura de los CSV — de ahí que el log del script imprima una cifra mayor que esta; no es tiempo de ajuste —el híbrido no re-entrena— ni comparable con el 'tiempo_s' de las otras tres tablas · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,25.35,0.125,22544,0.005557,179940.3,2,df30cb2,2026-08-12T22:41:11
Autoencoder->RandomForest,cascada extremo a extremo (5 clases + unknown) sobre D2 completo; ojo: 'tiempo_entrenamiento_s' aquí es SOLO la calibración de UMBRAL_CONF por OOF sobre D3 — el híbrido no re-entrena las dos etapas. Y ojo también: 'fpr_cascada' y 'bin_fpr' son EL MISMO NÚMERO por construcción y no dos medidas — la etapa 2 solo reclasifica los flujos que la etapa 1 marcó como sospechosos y nunca devuelve uno a 'normal' así que el FPR de la cascada es por fuerza el de la etapa 1; se publican las dos porque P-2 pide el FPR junto al titular de 0-day y H-5 pide el bloque binario completo,54,False,54,Autoencoder,RandomForest,0.6,0.02,0.863633,0.924354,0.892962,0.093399,0.882142,0.948902,0.946444,8804,907,1750,11083,0.942651,0.609278,0.678933,9083,0.592287,0.774441,0.777067,3750,0.093399,12.82,'tiempo_s' = el tramo de la corrida que va desde la carga de los splits hasta el cierre de esta fila (carga de D1/D2/D3 + carga de los .joblib de las dos etapas + calibración OOF sobre D3 = 'tiempo_entrenamiento_s' + cascada sobre D2 = 'tiempo_inferencia_s' + tabla de sensibilidad de los 3 umbrales); lo que queda al restar esas dos columnas son la carga de los splits los dos .joblib y las pasadas de métricas de la tabla de sensibilidad — ninguna columna los mide por separado. NO incluye lo que se hace DESPUÉS de tomar la medida: la figura 5x6 · la tabla 0-day de los cuatro detectores · la escritura de los CSV — de ahí que el log del script imprima una cifra mayor que esta; no es tiempo de ajuste —el híbrido no re-entrena— ni comparable con el 'tiempo_s' de las otras tres tablas · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,11.118,0.059,22544,0.002604,384005.5,3,df30cb2,2026-08-12T22:47:39
Autoencoder->RandomForest,cascada extremo a extremo (5 clases + unknown) sobre D2 completo; ojo: 'tiempo_entrenamiento_s' aquí es SOLO la calibración de UMBRAL_CONF por OOF sobre D3 — el híbrido no re-entrena las dos etapas. Y ojo también: 'fpr_cascada' y 'bin_fpr' son EL MISMO NÚMERO por construcción y no dos medidas — la etapa 2 solo reclasifica los flujos que la etapa 1 marcó como sospechosos y nunca devuelve uno a 'normal' así que el FPR de la cascada es por fuerza el de la etapa 1; se publican las dos porque P-2 pide el FPR junto al titular de 0-day y H-5 pide el bloque binario completo,122_sin_seleccion,True,122,Autoencoder,RandomForest,0.5,0.02,0.771293,0.9543,0.853092,0.048811,0.848785,0.957337,0.960212,9237,474,2935,9898,0.885581,0.564586,0.60773,9083,0.565332,0.775727,0.706133,3750,0.048811,7.79,'tiempo_s' = el tramo de la corrida que va desde la carga de los splits hasta el cierre de esta fila (carga de D1/D2/D3 + carga de los .joblib de las dos etapas + calibración OOF sobre D3 = 'tiempo_entrenamiento_s' + cascada sobre D2 = 'tiempo_inferencia_s' + tabla de sensibilidad de los 3 umbrales); lo que queda al restar esas dos columnas son la carga de los splits los dos .joblib y las pasadas de métricas de la tabla de sensibilidad — ninguna columna los mide por separado. NO incluye lo que se hace DESPUÉS de tomar la medida: la figura 5x6 · la tabla 0-day de los cuatro detectores · la escritura de los CSV — de ahí que el log del script imprima una cifra mayor que esta; no es tiempo de ajuste —el híbrido no re-entrena— ni comparable con el 'tiempo_s' de las otras tres tablas · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,5.443,0.09,22544,0.004007,249553.6,3,df30cb2,2026-08-12T22:56:23
Autoencoder->RandomForest,cascada extremo a extremo (5 clases + unknown) sobre D2 completo; ojo: 'tiempo_entrenamiento_s' aquí es SOLO la calibración de UMBRAL_CONF por OOF sobre D3 — el híbrido no re-entrena las dos etapas. Y ojo también: 'fpr_cascada' y 'bin_fpr' son EL MISMO NÚMERO por construcción y no dos medidas — la etapa 2 solo reclasifica los flujos que la etapa 1 marcó como sospechosos y nunca devuelve uno a 'normal' así que el FPR de la cascada es por fuerza el de la etapa 1; se publican las dos porque P-2 pide el FPR junto al titular de 0-day y H-5 pide el bloque binario completo,54,False,54,Autoencoder,RandomForest,0.5,0.02,0.861918,0.914132,0.887258,0.106992,0.875311,0.931781,0.920772,8672,1039,1772,11061,0.923223,0.693943,0.767902,9083,0.655818,0.802342,0.753333,3750,0.106992,7.4,'tiempo_s' = el tramo de la corrida que va desde la carga de los splits hasta el cierre de esta fila (carga de D1/D2/D3 + carga de los .joblib de las dos etapas + calibración OOF sobre D3 = 'tiempo_entrenamiento_s' + cascada sobre D2 = 'tiempo_inferencia_s' + tabla de sensibilidad de los 3 umbrales); lo que queda al restar esas dos columnas son la carga de los splits los dos .joblib y las pasadas de métricas de la tabla de sensibilidad — ninguna columna los mide por separado. NO incluye lo que se hace DESPUÉS de tomar la medida: la figura 5x6 · la tabla 0-day de los cuatro detectores · la escritura de los CSV — de ahí que el log del script imprima una cifra mayor que esta; no es tiempo de ajuste —el híbrido no re-entrena— ni comparable con el 'tiempo_s' de las otras tres tablas · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,5.615,0.058,22544,0.00259,386104.1,4,df30cb2,2026-08-12T23:02:09
Autoencoder->RandomForest,cascada extremo a extremo (5 clases + unknown) sobre D2 completo; ojo: 'tiempo_entrenamiento_s' aquí es SOLO la calibración de UMBRAL_CONF por OOF sobre D3 — el híbrido no re-entrena las dos etapas. Y ojo también: 'fpr_cascada' y 'bin_fpr' son EL MISMO NÚMERO por construcción y no dos medidas — la etapa 2 solo reclasifica los flujos que la etapa 1 marcó como sospechosos y nunca devuelve uno a 'normal' así que el FPR de la cascada es por fuerza el de la etapa 1; se publican las dos porque P-2 pide el FPR junto al titular de 0-day y H-5 pide el bloque binario completo,122_sin_seleccion,True,122,Autoencoder,RandomForest,0.4,0.02,0.848282,0.925759,0.885329,0.089898,0.874911,0.950804,0.958115,8838,873,1947,10886,0.872745,0.760538,0.79087,9083,0.655391,0.807,0.766933,3750,0.089898,7.83,'tiempo_s' = el tramo de la corrida que va desde la carga de los splits hasta el cierre de esta fila (carga de D1/D2/D3 + carga de los .joblib de las dos etapas + calibración OOF sobre D3 = 'tiempo_entrenamiento_s' + cascada sobre D2 = 'tiempo_inferencia_s' + tabla de sensibilidad de los 3 umbrales); lo que queda al restar esas dos columnas son la carga de los splits los dos .joblib y las pasadas de métricas de la tabla de sensibilidad — ninguna columna los mide por separado. NO incluye lo que se hace DESPUÉS de tomar la medida: la figura 5x6 · la tabla 0-day de los cuatro detectores · la escritura de los CSV — de ahí que el log del script imprima una cifra mayor que esta; no es tiempo de ajuste —el híbrido no re-entrena— ni comparable con el 'tiempo_s' de las otras tres tablas · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,5.601,0.07,22544,0.003118,320700.6,4,df30cb2,2026-08-12T23:09:59
Autoencoder->RandomForest,cascada extremo a extremo (5 clases + unknown) sobre D2 completo; ojo: 'tiempo_entrenamiento_s' aquí es SOLO la calibración de UMBRAL_CONF por OOF sobre D3 — el híbrido no re-entrena las dos etapas. Y ojo también: 'fpr_cascada' y 'bin_fpr' son EL MISMO NÚMERO por construcción y no dos medidas — la etapa 2 solo reclasifica los flujos que la etapa 1 marcó como sospechosos y nunca devuelve uno a 'normal' así que el FPR de la cascada es por fuerza el de la etapa 1; se publican las dos porque P-2 pide el FPR junto al titular de 0-day y H-5 pide el bloque binario completo,54,False,54,Autoencoder,RandomForest,0.4,0.02,0.793891,0.91274,0.849177,0.100299,0.839469,0.932149,0.923581,8737,974,2645,10188,0.920312,0.68366,0.75574,9083,0.614397,0.785043,0.7232,3750,0.100299,6.96,'tiempo_s' = el tramo de la corrida que va desde la carga de los splits hasta el cierre de esta fila (carga de D1/D2/D3 + carga de los .joblib de las dos etapas + calibración OOF sobre D3 = 'tiempo_entrenamiento_s' + cascada sobre D2 = 'tiempo_inferencia_s' + tabla de sensibilidad de los 3 umbrales); lo que queda al restar esas dos columnas son la carga de los splits los dos .joblib y las pasadas de métricas de la tabla de sensibilidad — ninguna columna los mide por separado. NO incluye lo que se hace DESPUÉS de tomar la medida: la figura 5x6 · la tabla 0-day de los cuatro detectores · la escritura de los CSV — de ahí que el log del script imprima una cifra mayor que esta; no es tiempo de ajuste —el híbrido no re-entrena— ni comparable con el 'tiempo_s' de las otras tres tablas · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,5.247,0.052,22544,0.002315,432057.0,5,df30cb2,2026-08-12T23:15:23
Autoencoder->RandomForest,cascada extremo a extremo (5 clases + unknown) sobre D2 completo; ojo: 'tiempo_entrenamiento_s' aquí es SOLO la calibración de UMBRAL_CONF por OOF sobre D3 — el híbrido no re-entrena las dos etapas. Y ojo también: 'fpr_cascada' y 'bin_fpr' son EL MISMO NÚMERO por construcción y no dos medidas — la etapa 2 solo reclasifica los flujos que la etapa 1 marcó como sospechosos y nunca devuelve uno a 'normal' así que el FPR de la cascada es por fuerza el de la etapa 1; se publican las dos porque P-2 pide el FPR junto al titular de 0-day y H-5 pide el bloque binario completo,122_sin_seleccion,True,122,Autoencoder,RandomForest,0.5,0.02,0.822567,0.928,0.872108,0.084337,0.862669,0.951671,0.960038,8892,819,2277,10556,0.912642,0.589312,0.648495,9083,0.584454,0.771735,0.738933,3750,0.084337,7.47,'tiempo_s' = el tramo de la corrida que va desde la carga de los splits hasta el cierre de esta fila (carga de D1/D2/D3 + carga de los .joblib de las dos etapas + calibración OOF sobre D3 = 'tiempo_entrenamiento_s' + cascada sobre D2 = 'tiempo_inferencia_s' + tabla de sensibilidad de los 3 umbrales); lo que queda al restar esas dos columnas son la carga de los splits los dos .joblib y las pasadas de métricas de la tabla de sensibilidad — ninguna columna los mide por separado. NO incluye lo que se hace DESPUÉS de tomar la medida: la figura 5x6 · la tabla 0-day de los cuatro detectores · la escritura de los CSV — de ahí que el log del script imprima una cifra mayor que esta; no es tiempo de ajuste —el híbrido no re-entrena— ni comparable con el 'tiempo_s' de las otras tres tablas · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,5.279,0.081,22544,0.003612,276842.4,5,df30cb2,2026-08-12T23:23:57
